id,key,value,type
209451088,railway,station,regular
209451088,ref,EW25,regular
209451088,station,subway,regular
209451088,wikidata,Q3272301,regular
209451088,wikipedia,en:Chinese Garden MRT Station,regular
209451110,name,Lakeside,regular
209451110,en,Lakeside,name
209451110,zh,湖畔,name
209451110,network,MRT,regular
209451110,public_transport,station,regular
209451110,railway,station,regular
209451110,ref,EW26,regular
209451110,station,subway,regular
210495761,name,Dhoby Ghaut,regular
210495761,en,Dhoby Ghaut,name
210495761,hi,டோபி காட்,name
210495761,ms,Dhoby Ghaut,name
210495761,zh,多美歌,name
210495761,network,MRT,regular
210495761,public_transport,station,regular
210495761,railway,station,regular
210495761,ref,NS24;NE6;CC1,regular
210495761,station,subway,regular
210495761,wheelchair,yes,regular
210495761,wikidata,Q3234475,regular
210495761,wikipedia,en:Dhoby Ghaut MRT Station,regular
210523963,name,Somerset,regular
210523963,public_transport,stop_position,regular
210523963,subway,yes,regular
210568235,name,Novena,regular
210568235,public_transport,stop_position,regular
210568235,subway,yes,regular
211817453,created_by,JOSM,regular
211817541,created_by,JOSM,regular
211817572,created_by,JOSM,regular
211820821,created_by,JOSM,regular
211820845,created_by,JOSM,regular
211820951,created_by,JOSM,regular
211824048,created_by,JOSM,regular
211824103,created_by,JOSM,regular
211824225,created_by,JOSM,regular
211876794,created_by,JOSM,regular
211884931,created_by,JOSM,regular
211885056,created_by,JOSM,regular
211885067,created_by,JOSM,regular
211885094,created_by,JOSM,regular
211885121,created_by,JOSM,regular
211888129,created_by,JOSM,regular
211888151,created_by,JOSM,regular
211888168,created_by,JOSM,regular
211888185,created_by,JOSM,regular
211888207,created_by,JOSM,regular
211893962,created_by,JOSM,regular
211910499,created_by,JOSM,regular
211910522,created_by,JOSM,regular
211910534,created_by,JOSM,regular
211910554,created_by,JOSM,regular
211910576,created_by,JOSM,regular
211910592,created_by,JOSM,regular
211910617,created_by,JOSM,regular
211911658,created_by,JOSM,regular
213010787,highway,traffic_signals,regular
213010787,traffic_signals,signal,regular
213010911,highway,traffic_signals,regular
213010911,traffic_signals,signal,regular
213011022,highway,traffic_signals,regular
